date,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,ticker
2021-03-31,3116.00000,2185.00000,1653.00000,243.00000,,7197.00000,681.00000,65.00000,289.00000,412.00000,2850.00000,10047.00000,2864.00000,313.00000,155.00000,706.00000,3570.00000,12.00000,-4058.00000,6.00000,,6477.00000,10047.00000,AMD
2020-12-31,2290.00000,2076.00000,1399.00000,378.00000,,6143.00000,641.00000,63.00000,289.00000,373.00000,2819.00000,8962.00000,2417.00000,330.00000,177.00000,708.00000,3125.00000,12.00000,-4605.00000,17.00000,,5837.00000,8962.00000,AMD
2020-09-30,1771.00000,2138.00000,1292.00000,299.00000,,5500.00000,595.00000,60.00000,289.00000,364.00000,1523.00000,7023.00000,2417.00000,373.00000,161.00000,739.00000,3156.00000,12.00000,-6386.00000,5.00000,,3867.00000,7023.00000,AMD
2020-06-30,1775.00000,1799.00000,1324.00000,211.00000,,5109.00000,585.00000,59.00000,289.00000,326.00000,1474.00000,6583.00000,2434.00000,490.00000,150.00000,844.00000,3278.00000,12.00000,-6776.00000,-4.00000,,3305.00000,6583.00000,AMD
2020-03-31,1385.00000,1691.00000,1056.00000,258.00000,,4390.00000,540.00000,58.00000,289.00000,366.00000,1474.00000,5864.00000,1985.00000,488.00000,143.00000,842.00000,2827.00000,12.00000,-6933.00000,-14.00000,,3037.00000,5864.00000,AMD
2019-12-31,1503.00000,1879.00000,982.00000,233.00000,,4597.00000,500.00000,58.00000,289.00000,357.00000,1431.00000,6028.00000,2359.00000,486.00000,157.00000,842.00000,3201.00000,12.00000,-7095.00000,,,2827.00000,6028.00000,AMD
2019-09-30,1209.00000,1393.00000,1040.00000,270.00000,,3912.00000,453.00000,59.00000,289.00000,335.00000,1341.00000,5253.00000,1864.00000,872.00000,140.00000,1213.00000,3077.00000,11.00000,-7265.00000,-7.00000,,2176.00000,5253.00000,AMD
2019-06-30,1128.00000,1333.00000,1015.00000,278.00000,,3754.00000,458.00000,58.00000,289.00000,331.00000,1348.00000,5102.00000,1804.00000,1031.00000,155.00000,1397.00000,3201.00000,11.00000,-7385.00000,,,1901.00000,5102.00000,AMD
2019-03-31,1194.00000,1241.00000,955.00000,115.00000,172.00000,3677.00000,377.00000,57.00000,289.00000,317.00000,1254.00000,4931.00000,1764.00000,1024.00000,142.00000,1379.00000,3143.00000,11.00000,-7420.00000,-1.00000,,1788.00000,4931.00000,AMD
2018-12-31,1156.00000,1235.00000,845.00000,304.00000,,3540.00000,348.00000,58.00000,289.00000,321.00000,1016.00000,4556.00000,1984.00000,1114.00000,192.00000,1306.00000,3290.00000,10.00000,-7436.00000,-8.00000,,1266.00000,4556.00000,AMD
2018-09-30,1056.00000,1207.00000,738.00000,113.00000,200.00000,3314.00000,318.00000,58.00000,289.00000,368.00000,1033.00000,4347.00000,1878.00000,1167.00000,177.00000,1344.00000,3222.00000,10.00000,-7474.00000,-10.00000,,1125.00000,4347.00000,AMD
2018-06-30,983.00000,1118.00000,750.00000,93.00000,155.00000,3099.00000,295.00000,57.00000,289.00000,363.00000,1004.00000,4103.00000,1868.00000,1170.00000,186.00000,1356.00000,3224.00000,10.00000,-7576.00000,-10.00000,,879.00000,4103.00000,AMD
2018-03-31,1045.00000,738.00000,715.00000,85.00000,168.00000,2751.00000,290.00000,57.00000,289.00000,376.00000,1012.00000,3763.00000,1697.00000,1165.00000,186.00000,1351.00000,3048.00000,10.00000,-7692.00000,3.00000,,715.00000,3763.00000,AMD
