date,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid,ticker
3/31/21,555,109,180,289,-109,-254,428,30,54,898,-66,,,-658,,-658,2,-722,,,,-8,-8,,,-8,168,85,0,AMD
12/31/20,1781,103,-1129,-1026,62,-107,-37,-59,-201,554,-74,0,0,-220,0,-220,0,-294,0,0,0,35,35,0,0,35,295,79,0,AMD
9/30/20,390,97,128,225,-345,32,-77,-168,-276,339,-74,0,0,-438,-37,-475,0,-549,-200,0,-200,-70,-70,0,1,-269,-479,76,0,AMD
6/30/20,157,86,68,154,-97,-268,374,24,-68,243,-91,0,0,18,37,55,0,-36,0,200,200,40,40,0,-2,238,445,60,0,AMD
3/31/20,162,82,77,159,171,-74,-395,-28,-386,-65,-55,,,-18,,-18,,-73,,,,2,2,,,2,-136,59,0,AMD
12/31/19,170,78,197,275,-468,58,-1,-144,-3,442,-42,0,0,16,0,16,0,-26,-142,0,-142,-413,-413,0,448,-107,309,57,0,AMD
9/30/19,120,76,107,183,-47,-25,14,-19,-69,234,-55,0,0,25,87,112,0,57,-97,0,-97,-3,-3,0,2,-98,193,54,0,AMD
6/30/19,35,70,48,118,-89,-60,0,5,-123,30,-58,0,0,0,51,51,0,-7,-70,0,-70,483,483,0,-451,-38,-15,45,0,AMD
3/31/19,16,64,54,118,-5,-110,-6,-18,-347,-213,-62,,,,-138,-138,27,-173,-164,,-164,1,1,,449,286,-100,41,0,AMD
12/31/18,38,52,106,158,6,-107,-5,-61,-76,120,-41,0,0,-78,10,-68,21,-88,-26,0,-26,20,20,0,6,0,32,36,0,AMD
9/30/18,102,50,45,95,-136,12,40,-102,-121,76,-33,0,0,0,25,25,19,11,0,0,0,9,9,0,-1,8,95,36,0,AMD
6/30/18,116,52,31,83,-424,-35,38,69,-254,-55,-43,0,0,0,-35,-35,10,-68,-1,0,-1,29,29,0,0,28,-95,33,0,AMD
3/31/18,81,54,34,88,-280,-21,-38,24,-276,-107,-46,,,,,,21,-25,-14,,-14,6,6,,,-8,-140,32,0,AMD
12/31/17,-19,48,21,69,418,-8,-18,-99,274,324,-44,0,0,0,0,0,61,17,-110,70,-40,5,5,0,1,-34,307,21,0,AMD
9/30/17,61,45,33,78,-105,-28,70,-20,-70,69,-34,0,0,0,84,84,1,51,42,-42,0,5,5,0,-3,2,122,29,0,AMD
6/30/17,-42,44,23,67,-22,-43,-15,-25,-107,-82,-12,0,0,0,137,137,-1,124,-42,42,0,2,2,0,-6,-4,38,24,0,AMD
3/31/17,-33,43,32,75,-394,76,6,-29,-341,-299,-23,,,,-221,-221,-2,-246,,,,8,8,,-5,3,-542,23,0,AMD
12/31/16,-52,55,23,78,266,46,-183,-29,153,179,-21,0,0,0,-4,-4,9,-16,66,-230,-164,7,7,0,1,-156,7,29,0,AMD
9/30/16,-406,33,328,361,30,-28,184,-10,74,29,-9,0,0,0,-5,-5,4,-10,-393,0,-393,678,678,0,-3,282,301,23,0,AMD
6/30/16,69,33,-118,-85,-150,-69,11,-141,-69,-85,-21,0,0,0,351,351,-1,329,-4,0,-4,2,2,0,-1,-3,241,18,0,AMD
3/31/16,-109,33,20,53,33,3,-12,17,14,-42,-26,,,,,,,-26,,,,,,,-1,-1,-69,16,0,AMD
12/31/15,-102,45,-104,-59,116,82,18,86,220,59,-32,0,0,0,0,0,0,-32,-100,100,0,4,4,0,-1,3,30,16,0,AMD
9/30/15,-197,42,41,83,35,24,30,-43,58,-56,-17,0,0,0,0,0,0,-17,0,0,0,0,0,0,-1,-1,-74,13,0,AMD
6/30/15,-181,45,47,92,83,-111,76,-54,32,-57,-17,0,0,0,228,228,0,211,-1,0,-1,1,1,0,-2,-2,152,17,0,AMD
3/31/15,-180,46,159,205,46,-6,-97,-16,-197,-172,-22,,,,7,7,,-15,57,,57,,,,2,59,-128,17,0,AMD
12/31/14,-364,48,149,197,151,213,-99,149,283,116,-22,0,0,0,65,65,0,43,3,0,3,0,0,0,3,6,165,16,0,AMD
9/30/14,17,49,13,62,-104,62,22,-67,-61,18,-29,0,0,0,148,148,0,119,-1,0,-1,2,2,0,-1,0,137,21,0,AMD
6/30/14,-36,53,78,131,-32,-90,82,-81,-123,-28,-23,0,0,0,-20,-20,0,-43,18,0,18,1,1,0,1,20,-51,21,0,AMD
3/31/14,-20,53,40,93,-8,14,-151,-8,-277,-204,-21,,,,-110,-110,,-131,20,,20,1,1,,-1,20,-315,23,0,AMD
12/31/13,89,54,31,85,42,38,-130,-18,-153,21,-21,0,0,0,317,317,0,296,4,0,4,0,0,0,5,9,326,24,0,AMD
9/30/13,48,57,11,68,-203,-211,81,-10,-95,21,42,0,0,0,144,144,0,186,-2,0,-2,1,1,0,3,2,209,23,0,AMD
6/30/13,-74,59,27,86,-25,-97,34,-74,-47,-35,-25,0,0,0,-49,-49,0,-74,-1,0,-1,1,1,0,2,2,-107,20,0,AMD
3/31/13,-146,66,78,144,-14,-52,-74,-1,-153,-155,158,,,,-111,-111,,47,-1,,-1,1,1,,,0,-108,24,0,AMD
12/31/12,-473,66,38,104,53,183,6,11,83,-286,-133,0,111,0,62,62,14,54,-1,0,-1,2,2,0,4,5,-227,23,0,AMD
9/30/12,-157,66,31,97,60,89,-213,-9,-180,-240,79,0,-111,0,40,40,-18,-10,5,0,5,0,0,0,6,11,-239,27,0,AMD
6/30/12,37,65,30,95,217,-249,100,23,-51,81,-39,0,0,0,-223,-223,-1,-263,-1,0,-1,3,3,0,2,4,-178,26,0,AMD
3/31/12,-590,63,266,329,-40,-106,384,-57,368,107,-40,,-281,,525,525,-4,200,-1,,-1,9,9,,9,17,324,21,0,AMD
12/31/11,-177,70,229,299,-10,65,26,75,65,187,-87,0,0,0,186,186,-2,97,-51,0,-51,1,1,0,10,-40,244,21,0,AMD
9/30/11,97,79,22,101,-150,102,34,2,-9,189,-42,0,0,0,76,76,0,34,-153,0,-153,2,2,0,-1,-152,71,22,0,AMD
6/30/11,61,80,25,105,2,6,-10,38,8,174,-67,0,0,0,-163,-163,0,-230,1,0,1,6,6,0,1,8,-48,20,0,AMD
3/31/11,510,88,-450,-362,-189,-16,-78,-1,-316,-168,-38,,,,41,41,-17,-14,164,,164,9,9,,5,178,-4,27,0,AMD
12/31/10,375,89,-27,62,-465,-10,-11,-107,-650,-213,-38,0,0,0,-61,-61,-4,-103,-1239,0,-1239,1526,1526,0,15,302,-14,22,0,AMD
9/30/10,-118,94,233,327,-285,-41,3,3,-333,-124,-30,0,0,0,-296,-296,5,-321,-18,0,-18,2,2,0,-3,-19,-464,22,0,AMD
6/30/10,-43,100,133,233,-254,-4,32,11,-288,-98,-31,0,0,0,530,530,17,516,9,0,9,4,4,0,11,24,442,23,0,AMD
3/31/10,257,100,-110,-10,-134,-89,31,7,-224,23,-48,,,,-264,-264,-903,-1215,174,,174,3,3,,,177,-1015,20,0,AMD
12/31/09,1177,252,85,337,-349,-52,0,9,-364,1150,-174,0,0,0,-383,-383,0,-557,-622,0,-622,0,-178,0,17,-783,-190,18,0,AMD
9/30/09,-135,257,29,286,-316,-22,0,26,-293,-142,-96,0,0,0,-122,-122,-2,-220,52,0,52,0,178,0,0,230,-132,17,0,AMD
