date,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,ticker
2021-03-31,3445.00000,1858.00000,1587.00000,610.00000,319.00000,4.00000,2783.00000,662.00000,-20.00000,642.00000,89.00000,553.00000,,555.00000,,555.00000,771.00000,662.00000,1213.00000,1231.00000,0.46000,0.45000,AMD
2020-12-31,3244.00000,1793.00000,1451.00000,573.00000,308.00000,,2674.00000,570.00000,-24.00000,546.00000,-1232.00000,1778.00000,,1781.00000,,1781.00000,673.00000,570.00000,1184.00000,1207.00000,1.50000,1.47000,AMD
2020-09-30,2801.00000,1571.00000,1230.00000,508.00000,273.00000,,2352.00000,449.00000,-48.00000,401.00000,12.00000,389.00000,,390.00000,,390.00000,546.00000,449.00000,1184.00000,1215.00000,0.33000,0.32000,AMD
2020-06-30,1932.00000,1084.00000,848.00000,460.00000,215.00000,,1759.00000,173.00000,-13.00000,160.00000,4.00000,156.00000,,157.00000,,157.00000,259.00000,173.00000,1174.00000,1227.00000,0.13000,0.13000,AMD
2020-03-31,1786.00000,968.00000,818.00000,442.00000,199.00000,,1609.00000,177.00000,-9.00000,168.00000,6.00000,162.00000,,162.00000,,162.00000,259.00000,177.00000,1170.00000,1224.00000,0.14000,0.14000,AMD
2019-12-31,2127.00000,1178.00000,949.00000,395.00000,206.00000,,1779.00000,348.00000,-143.00000,205.00000,35.00000,170.00000,,170.00000,,170.00000,426.00000,348.00000,1091.00000,1120.00000,0.16000,0.15000,AMD
2019-09-30,1801.00000,1024.00000,777.00000,406.00000,185.00000,,1615.00000,186.00000,-60.00000,126.00000,7.00000,119.00000,,120.00000,,120.00000,262.00000,186.00000,1097.00000,1117.00000,0.11000,0.11000,AMD
2019-06-30,1531.00000,910.00000,621.00000,373.00000,189.00000,,1472.00000,59.00000,-22.00000,37.00000,2.00000,35.00000,,35.00000,,35.00000,129.00000,59.00000,1084.00000,1109.00000,0.03000,0.03000,AMD
2019-03-31,1272.00000,751.00000,521.00000,373.00000,170.00000,60.00000,1234.00000,38.00000,-34.00000,4.00000,-13.00000,17.00000,,16.00000,,16.00000,102.00000,38.00000,1044.00000,1094.00000,0.01000,0.01000,AMD
2018-12-31,1419.00000,882.00000,537.00000,371.00000,138.00000,,1391.00000,28.00000,-25.00000,3.00000,-35.00000,38.00000,,38.00000,,38.00000,80.00000,28.00000,982.00000,1064.00000,0.04000,0.04000,AMD
2018-09-30,1653.00000,992.00000,661.00000,363.00000,148.00000,,1503.00000,150.00000,-36.00000,114.00000,12.00000,102.00000,,102.00000,,102.00000,200.00000,150.00000,987.00000,1076.00000,0.10000,0.09000,AMD
2018-06-30,1756.00000,1104.00000,652.00000,357.00000,142.00000,,1603.00000,153.00000,-30.00000,123.00000,6.00000,117.00000,,116.00000,,116.00000,205.00000,153.00000,972.00000,1147.00000,0.12000,0.11000,AMD
2018-03-31,1647.00000,1050.00000,597.00000,343.00000,134.00000,,1527.00000,120.00000,-30.00000,90.00000,8.00000,82.00000,,81.00000,,81.00000,174.00000,120.00000,968.00000,1039.00000,0.08000,0.08000,AMD
2017-12-31,1340.00000,888.00000,452.00000,320.00000,134.00000,,1342.00000,-2.00000,-29.00000,-31.00000,-12.00000,-19.00000,,-19.00000,,-19.00000,46.00000,-2.00000,952.00000,952.00000,-0.01000,-0.01000,AMD
2017-09-30,1584.00000,1013.00000,571.00000,320.00000,132.00000,,1465.00000,119.00000,-34.00000,85.00000,22.00000,63.00000,,61.00000,,61.00000,164.00000,119.00000,957.00000,1042.00000,0.06000,0.06000,AMD
2017-06-30,1151.00000,765.00000,386.00000,285.00000,127.00000,25.00000,1152.00000,-1.00000,-35.00000,-36.00000,3.00000,-39.00000,,-42.00000,,-42.00000,43.00000,-1.00000,945.00000,945.00000,-0.04000,-0.04000,AMD
2017-03-31,1178.00000,800.00000,378.00000,271.00000,123.00000,27.00000,1167.00000,11.00000,-37.00000,-26.00000,5.00000,-31.00000,,-33.00000,,-33.00000,54.00000,11.00000,939.00000,939.00000,-0.04000,-0.04000,AMD
2016-12-31,1153.00000,797.00000,356.00000,264.00000,127.00000,31.00000,1157.00000,-4.00000,-41.00000,-45.00000,5.00000,-50.00000,,-52.00000,,-52.00000,51.00000,-4.00000,835.00000,835.00000,-0.05000,-0.04000,AMD
2016-09-30,1307.00000,1248.00000,59.00000,259.00000,117.00000,24.00000,1600.00000,-293.00000,-104.00000,-397.00000,4.00000,-401.00000,,-406.00000,,-406.00000,-260.00000,-293.00000,815.00000,815.00000,-0.50000,-0.50000,AMD
2016-06-30,1027.00000,708.00000,319.00000,243.00000,117.00000,26.00000,1035.00000,-8.00000,109.00000,101.00000,29.00000,72.00000,,69.00000,,69.00000,25.00000,-8.00000,794.00000,821.00000,0.09000,0.08000,AMD
2016-03-31,832.00000,563.00000,269.00000,242.00000,105.00000,7.00000,900.00000,-68.00000,-40.00000,-108.00000,1.00000,-109.00000,,-109.00000,,-109.00000,-35.00000,-68.00000,793.00000,793.00000,-0.14000,-0.14000,AMD
